altitude_m,distancia_proximo_m,id,id_original,inclinacao_percentual,lat,latitude,lon,longitude,origem,tipo
979.0,130.636,184,,-21.434,-22.484098821933,-22.484098821933,-43.2131016254425,-43.2131016254425,12-13,geometria
951.0,83.492,185,,9.582,-22.484713444618,-22.484713444618,-43.2120180130005,-43.2120180130005,12-13,geometria
959.0,128.55,186,,-3.89,-22.4841583016669,-22.4841583016669,-43.2114708423615,-43.2114708423615,12-13,geometria
954.0,112.05,187,,12.494,-22.4852289325078,-22.4852289325078,-43.2109987735748,-43.2109987735748,12-13,geometria
968.0,211.608,188,,7.089,-22.4862004236974,-22.4862004236974,-43.2107090950012,-43.2107090950012,12-13,geometria
983.0,154.984,189,,9.678,-22.486775384659,-22.486775384659,-43.2087457180023,-43.2087457180023,12-13,geometria
998.0,119.256,190,,-2.516,-22.4866465143063,-22.4866465143063,-43.207243680954,-43.207243680954,12-13,geometria
995.0,97.257,191,,-5.141,-22.4874098215691,-22.4874098215691,-43.2080590724945,-43.2080590724945,12-13,geometria
990.0,162.019,192,,-16.665,-22.4881235596169,-22.4881235596169,-43.2075119018555,-43.2075119018555,12-13,geometria
963.0,124.416,193,,9.645,-22.4882920805633,-22.4882920805633,-43.2059454917908,-43.2059454917908,12-13,geometria
975.0,59.747,194,,-35.148,-22.4877369519646,-22.4877369519646,-43.2048940658569,-43.2048940658569,12-13,geometria
954.0,95.294,195,,24.136,-22.4880640815868,-22.4880640815868,-43.2044327259064,-43.2044327259064,12-13,geometria
977.0,105.571,196,,-36.942,-22.4876378216233,-22.4876378216233,-43.2036280632019,-43.2036280632019,12-13,geometria
938.0,142.586,197,,-4.208,-22.4883614714816,-22.4883614714816,-43.2042932510376,-43.2042932510376,12-13,geometria
932.0,133.27,198,,2.251,-22.4887877292164,-22.4887877292164,-43.2056021690369,-43.2056021690369,12-13,geometria
935.0,133.046,199,,-20.294,-22.4892139856384,-22.4892139856384,-43.2068145275116,-43.2068145275116,12-13,geometria
908.0,97.099,200,,-17.508,-22.4896600665346,-22.4896600665346,-43.2056128978729,-43.2056128978729,12-13,geometria
891.0,135.236,201,,-9.613,-22.4902151874197,-22.4902151874197,-43.2048833370209,-43.2048833370209,12-13,geometria
878.0,134.257,202,,-5.959,-22.4914245502095,-22.4914245502095,-43.2047438621521,-43.2047438621521,12-13,geometria
870.0,159.311,203,,-6.277,-22.4920193149177,-22.4920193149177,-43.2036066055298,-43.2036066055298,12-13,geometria
860.0,82.815,204,,4.83,-22.4927032911718,-22.4927032911718,-43.2022440433502,-43.2022440433502,12-13,geometria
864.0,77.823,205,,2.57,-22.4930403217058,-22.4930403217058,-43.2015252113342,-43.2015252113342,12-13,geometria
866.0,158.874,206,,-3.147,-22.4937143803111,-22.4937143803111,-43.2013213634491,-43.2013213634491,12-13,geometria
861.0,103.983,207,,-10.579,-22.4949633625768,-22.4949633625768,-43.2005703449249,-43.2005703449249,12-13,geometria
850.0,102.217,208,,-4.892,-22.4957563613381,-22.4957563613381,-43.2000339031219,-43.2000339031219,12-13,geometria
845.0,100.644,209,,0.0,-22.4966707823924,-22.4966707823924,-43.2001358270645,-43.2001358270645,12-13,geometria
845.0,113.415,210,,-0.882,-22.497530679604,-22.497530679604,-43.1998300552368,-43.1998300552368,12-13,geometria
844.0,149.711,211,,3.34,-22.4983831372701,-22.4983831372701,-43.1992238759995,-43.1992238759995,12-13,geometria
849.0,99.753,212,,4.01,-22.4997212869645,-22.4997212869645,-43.1990629434586,-43.1990629434586,12-13,geometria
853.0,133.283,213,,-6.002,-22.5002515871508,-22.5002515871508,-43.1982797384262,-43.1982797384262,12-13,geometria
845.0,108.154,214,,-9.246,-22.5004646978679,-22.5004646978679,-43.1970030069351,-43.1970030069351,12-13,geometria
835.0,190.985,215,,1.571,-22.5005142584528,-22.5005142584528,-43.1959515810013,-43.1959515810013,12-13,geometria
838.0,73.89,216,,4.06,-22.501644234969,-22.501644234969,-43.1945514678955,-43.1945514678955,12-13,geometria
841.0,199.684,217,,-1.502,-22.5017284872342,-22.5017284872342,-43.1938380002976,-43.1938380002976,12-13,geometria
838.0,106.324,218,,-7.524,-22.5027642903001,-22.5027642903001,-43.1922501325607,-43.1922501325607,12-13,geometria
830.0,2122.335,219,,3.063,-22.5032598871094,-22.5032598871094,-43.1913650035858,-43.1913650035858,12-13,geometria
895.0,147.549,258,,-4.744,-22.5220193979771,-22.5220193979771,-43.195173740387,-43.195173740387,14-42,geometria
888.0,86.255,259,,-11.594,-22.5209168422845,-22.5209168422845,-43.1959730386734,-43.1959730386734,14-72,geometria
878.0,88.327,260,,-10.189,-22.5206641204145,-22.5206641204145,-43.195179104805,-43.195179104805,14-72,geometria
869.0,255.018,261,,12.156,-22.52007938961,-22.52007938961,-43.1945970654488,-43.1945970654488,14-72,geometria
900.0,45.737,262,,28.424,-22.5215114801554,-22.5215114801554,-43.1965363025665,-43.1965363025665,14-82,geometria
913.0,38.491,263,,20.784,-22.5218633063574,-22.5218633063574,-43.1967669725418,-43.1967669725418,14-82,geometria
921.0,30.35,264,,-6.59,-22.5217840216577,-22.5217840216577,-43.1971317529678,-43.1971317529678,14-82,geometria
919.0,30.31,265,,26.394,-22.5215213907649,-22.5215213907649,-43.1972122192383,-43.1972122192383,14-82,geometria
927.0,55.785,266,,10.756,-22.5213975080951,-22.5213975080951,-43.1974750757217,-43.1974750757217,14-82,geometria
933.0,47.636,267,,25.191,-22.5209168422845,-22.5209168422845,-43.1976306438446,-43.1976306438446,14-82,geometria
945.0,77.582,268,,-6.445,-22.5212884912537,-22.5212884912537,-43.1978613138199,-43.1978613138199,14-82,geometria
940.0,2070.402,269,,-3.429,-22.5219425910117,-22.5219425910117,-43.1975984573364,-43.1975984573364,14-82,geometria
869.0,36.916,270,,-2.709,-22.5306586702348,-22.5306586702348,-43.2154110074043,-43.2154110074043,16-32,geometria
868.0,161.217,271,,0.62,-22.5303266863882,-22.5303266863882,-43.2154083251953,-43.2154083251953,16-32,geometria
869.0,302.79,272,,0.661,-22.5295983011228,-22.5295983011228,-43.2167655229568,-43.2167655229568,16-32,geometria
871.0,460.715,273,,-0.651,-22.532308667663,-22.532308667663,-43.2170498371124,-43.2170498371124,16-20,geometria
868.0,31.675,274,,-3.157,-22.5297519064984,-22.5297519064984,-43.2135200500488,-43.2135200500488,16-43,geometria
867.0,52.028,275,,-1.922,-22.5296874913617,-22.5296874913617,-43.2132196426392,-43.2132196426392,16-43,geometria
866.0,2093.755,276,,2.579,-22.5298807366816,-22.5298807366816,-43.2127583026886,-43.2127583026886,16-43,geometria
920.0,105.316,277,,-13.293,-22.515237921716,-22.515237921716,-43.1999427080154,-43.1999427080154,17-105,geometria
